id,name,latitude,longitude,start_trips,end_trips,total_trips
338,Commonwealth Ave at Kelton St,42.34835862817045,-71.13997217276847,1067,1027,2094
372,Boylston St at Exeter St,42.34958942368245,-71.07946779173291,4268,4392,8660
544,Old Morse Park at Putnam Ave,42.357662478898824,-71.10841333866121,2039,1899,3938
389,Everett Square (Broadway at Chelsea St),42.406956789102416,-71.05650289605819,214,209,423
182,Museum of Science,42.36769018024484,-71.07116281986238,706,705,1411
494,Watertown Town Hall,42.367621,-71.187936,143,158,301
6,Cambridge St at Joy St,42.36125721646537,-71.06528744101523,2979,2970,5949
510,Mass Ave at Broadway,42.414202132001854,-71.15051883389242,302,335,637
441,Sullivan Square,42.384452256358436,-71.07514854529654,677,608,1285
20,Aquarium T Stop - 200 Atlantic Ave,42.35991176110118,-71.0514298081398,2817,2836,5653
398,75 Binney St,42.36550728505653,-71.0801375997653,1416,1375,2791
364,Tremont St at Northampton St,42.338431795290944,-71.08169049924982,2137,2138,4275
56,Dudley Square - Bolling Building,42.32984299351809,-71.08386572459494,1154,1185,2339
217,Orient Heights T Stop - Bennington St at Saratoga St,42.386781,-71.006098,324,331,655
30,Brigham Circle - Francis St at Huntington Ave,42.33462893055976,-71.10407917767589,2455,2411,4866
477,Marion St at White St,42.38066930871317,-71.03907315999093,256,241,497
567,Brighton Ave at Linden St,42.3528376,-71.1296752,2398,2383,4781
400,Lansdowne T Stop,42.347344731774314,-71.10016807950159,1663,1673,3336
344,Commonwealth Ave at Chiswick Rd,42.34024644768889,-71.15168806174552,420,328,748
523,Boston College T,42.33987891612856,-71.16708934307098,432,402,834
212,Maverick Square - Lewis Mall,42.368844082898356,-71.03977829217911,850,875,1725
489,Day Sq,42.379295,-71.027733,195,231,426
183,Alewife MBTA at Steel Place,42.395588457167094,-71.14260613918304,1119,1129,2248
95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,1783,1755,3538
108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945000000004,-71.116865,2646,2652,5298
54,Tremont St at West St,42.354979,-71.063348,2648,2624,5272
351,Faneuil St at Arlington St,42.352766205456064,-71.15988485533308,346,427,773
42,Boylston St at Arlington St,42.352009607431214,-71.07060294892108,3531,3622,7153
111,Packard Ave at Powderhouse Blvd,42.40449,-71.123413,1112,1129,2241
459,Canal St at Causeway St,42.36530094929082,-71.06092190993877,4276,4372,8648
29,Innovation Lab - 125 Western Ave at Batten Way,42.36371276003581,-71.12459778785707,2103,2134,4237
79,Beacon St at Washington / Kirkland,42.37875351212593,-71.10707223415375,1630,1640,3270
390,Broadway at Lynde St,42.39648358247693,-71.06546759905541,230,229,459
16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,2807,2812,5619
115,Porter Square Station,42.387995000000004,-71.119084,2639,2613,5252
384,Clarendon St at Newbury St,42.35159662465317,-71.0756166279316,2056,2137,4193
13,Boston Medical Center - E Concord St at Harrison Ave,42.336399153724976,-71.07306711393903,2198,2302,4500
428,Western Ave at Richardson St,42.36178741066188,-71.14393111327445,778,930,1708
51,Washington St at Lenox St,42.3350989929096,-71.07903778553009,1266,1266,2532
376,Honan Library,42.36027370454934,-71.12852452327388,1289,1306,2595
539,Walnut Ave at School St,42.31242399029812,-71.0961690545082,252,195,447
348,Talbot Ave At Blue Hill Ave,42.2945833,-71.087111,122,143,265
222,Troy Boston,42.343749,-71.062256,775,762,1537
199,Uphams Corner T Stop - Magnolia St at Dudley St,42.318697341722434,-71.06978148221971,277,303,580
